"","ensembl_gene_id","hgnc_symbol","spin","tpm_resting","tpm_activated"
"215","ENSG00000162374","ELAVL4","Lamina related",1.88628836794668,0
"216","ENSG00000162407","PPAP2B","Lamina related",5.4209121699307,12.9628690073009
"217","ENSG00000162433","AK4","Interior_Act3",43.466695535098,2668.11195721814
"218","ENSG00000162627","SNX7","Lamina related",192.57869967695,79.752459289136
"219","ENSG00000162687","KCNT2","Lamina related",0,0
"220","ENSG00000162688","AGL","Interior_Act3",6048.4997521257,7387.87916785691
"221","ENSG00000162694","EXTL2","Lamina related",655.705957402017,1397.82621833407
"222","ENSG00000162711","NLRP3","Lamina related",2061.03150164819,320.558598873855
"223","ENSG00000163046","ANKRD30BL","Lamina related",9.86487479354204,4.61549381447792
"224","ENSG00000163377","FAM19A4","Lamina related",0,0
"225","ENSG00000163393","SLC22A15","Lamina related",111.939095293606,73.4358023877067
"226","ENSG00000163590","PPM1L","Lamina related",683.505204064511,243.904434470949
"227","ENSG00000163618","CADPS","Lamina related",0,0
"228","ENSG00000163629","PTPN13","Lamina related",2290.20725070549,1062.55407134146
"229","ENSG00000163697","APBB2","Lamina related",16.5880671542003,50.9149174170457
"230","ENSG00000164180","TMEM161B","Lamina related",3696.30338982767,3107.5053643514
"231","ENSG00000164182","NDUFAF2","Interior_Act3",2821.94319819805,10004.8733260466
"232","ENSG00000164292","RHOBTB3","Interior_Act3",458.97924388428,383.148774793894
"233","ENSG00000164330","EBF1","Lamina related",131.487909259815,67.6295036837864
"234","ENSG00000164603","C7orf60","Lamina related",4450.08798201253,1965.05988377443
"235","ENSG00000164741","DLC1","Lamina related",39.350019094947,33.0834525258733
"236","ENSG00000164796","CSMD3","Lamina related",0,0
"237","ENSG00000164830","OXR1","Lamina related",6244.80461476061,3348.63538094722
"238","ENSG00000164919","COX6C","Lamina related",12208.4248600511,31506.1198636707
"239","ENSG00000165061","ZMAT4","Lamina related",8.86162023847074,0
"240","ENSG00000165091","TMC1","Lamina related",8.93258541911857,0
"241","ENSG00000165521","EML5","Lamina related",2157.20121904985,1625.61574929931
"242","ENSG00000165659","DACH1","Lamina related",283.415759798417,27.0244906020169
"243","ENSG00000165891","E2F7","Lamina related",28.2972028575416,1336.54520825515
"244","ENSG00000165970","SLC6A5","Lamina related",0,0
"245","ENSG00000165973","NELL1","Lamina related",0,0
"246","ENSG00000165995","CACNB2","Lamina related",802.305152285205,165.022279739001
"247","ENSG00000166006","KCNC2","Lamina related",1.49994460480808,0
"248","ENSG00000166037","CEP57","Interior_Act3",10198.8575024073,14680.7498206824
"249","ENSG00000166450","PRTG","Lamina related",0.45465999861267,1.58693688491954
"250","ENSG00000166748","AGBL1","Lamina related",0,0
"251","ENSG00000166922","SCG5","Lamina related",86.8080463111875,309.969982370677
"252","ENSG00000167346","MMP26","Lamina related",0,0
"253","ENSG00000168615","ADAM9","Lamina related",399.193684917946,2637.88344673737
"254","ENSG00000168702","LRP1B","Lamina related",0.895176428890633,0.815398362486015
"255","ENSG00000169126","ARMC4","Lamina related",57.2288332357961,36.2825578238533
"256","ENSG00000169224","GCSAML","Lamina related",236.449333926563,45.3615653666678
"257","ENSG00000169862","CTNND2","Lamina related",26.2328788461905,0
"258","ENSG00000170522","ELOVL6","Interior_Act3",141.582006819245,610.095155529025
"259","ENSG00000171497","PPID","Lamina related",8278.8078926397,37861.7902301444
"260","ENSG00000172086","KRCC1","Lamina related",16143.5967249961,10559.7242373963
"261","ENSG00000172139","SLC9C1","Lamina related",14.5611368761719,7.74811497355029
"262","ENSG00000172159","FRMD3","Lamina related",160.440447540954,70.6108704474284
"263","ENSG00000172399","MYOZ2","Lamina related",96.56404051368,5.35016869340073
"264","ENSG00000172915","NBEA","Lamina related",1283.48694896201,117.769716777692
"265","ENSG00000173482","PTPRM","Lamina related",830.088123671374,269.446370919412
"266","ENSG00000173852","DPY19L1","Lamina related",1934.47602805447,3007.89494404688
"267","ENSG00000173930","SLCO4C1","Lamina related",190.754916343922,53.5601174604386
"268","ENSG00000174145","KIAA1239","Lamina related",0,1.14324928173135
"269","ENSG00000174473","GALNTL6","Lamina related",2.06723238684512,7.00149294895267
"270","ENSG00000175471","MCTP1","Lamina related",296.682954040095,149.248477634793
